User,Comment
Talukdar Shihab,এটাই বুঝায় যে মানুষ যত খায় ততই চিকন হয়
Bubbly Snowflake,How much cute and kind is he . But some people still disliked this video. Are they humans? Animals? Plants? .
Nusaiba Meem,5 min 1k like...btw Wow chuto belay you was so cute masha allah️
jannatul jisha,I was hella dying for his deit!
Nur Samiha Mahbub,"Rafsan- ""তরকারির মুরগির গোস"" 
Me- laughing my ass out"
Md abu sufian Sarker,May Allah bless you...
AKRAM MUSIC (LOFI RAPS),The music is making the atmosphere inspiring.
Only focus on reality,Tnx Vai for your motivation. I also a fat gay this is the reason people Sham on me like they don't like me I feel like I am there toy and then I eat food just night but I can't control my hungry but now I can make it and ya Tnx again ️
soleistars official,"When he said smooth like butter 
Army's are like"
Reazul Islam,️ পুরাই আগুন।
Jamil Hossain,osthir transfortation ️
Noona Astrid,I was 35 kg now I'm 56kg omg.
DD_poison,Everything aside I am jealous of your gaming pc
MoN,"না খেলে আমার ঘুম আসে নাহ, 
কিন্তু ওজন কমানোটাও ইচ্ছে"
It'z Mehedi,সবাইকে মাহে রমজানের শুভেচ্ছা  রমাদান মোবারক
Yeontan's wifeu,Oiisjfjs the glow up hit really hard-
I LOVE YOU,ভাইয়া বাংলাদেশী হয়ে বাংলা বলা গর্বের বিষয়।
Amiys,"Well, I used subtitles. But still, wish me luck. will update after the goal is achieved."
Lusayna Zilfat,Why is it like this that everyone shares stories of their journey of being fat to skinny but not skinny fat?
Aemon,"I’m a Urdu speaker and it took me 2 minutes to realize he is speaking a different language 
I thought he was just speaking Hindi with an accent"
S Abir H,"আমিও যেন ওজন কমাতে পারি
সবাই দুয়া করবেন"
Beliver Eham,I am very much motivated by this emotional sound not your speech
craft by princess,Your setups dope!
Wayes quruni Sargo,I lost 37 kg.    Thanks
HASIB AL MAS,
Shin Hua li,we all love you Rafsan
$urpri$ed pikachu,Rafsan looks like his friend's mom. Bujhsi beparta
Ahmed Sohag,
Suvam Das,Dhonnobad sobaike jananor jonno
Ariyan Roy,This is called reality bro
Content Consumer,
"Shahina""s kithen",Thanks for the tips ️️
Farhan B. Amin,"যারা ট্রু Chotobhai ফ্যান,তারা জানে ভিডিওটা রি-আপলোড করা হয়েছে ️"
Mamun Arhan,অসাধারন
iTsTahinDuh,To be honest . The diet isn't that bad . It's actually quite decent
BTS army girl 💜,Thank you bro .
Mohammed Nayem Islam,নাইস
HR CreationS!,Always love u bro....  And love u r vdo s
Mr GRB Gamer,আমি এখন ১১০ কেজি আপনার কথা গুলো মেনে চলবো ২ মাস পর আপনাদের জানাবো
Shahriyar Shawon,Bgm শুনেই মোটিভেটেড হয়ে গেলাম
jewel khan,Beautiful
Sohan,Choto na tumi ek dada’r moton advice dile jeta amader lifestyle a onnek effect korbe ar tomar advice ektao mitthe na. It makes perfect sense. Thanks for your hard work dada
Salsabil Arafa,Thank you rafsan ei video ta amk onk motivation dilo dekhi koto kg komate pari
Nafraz Isha,From a Potato to French fries
Jack Bhaiya,1:05 Zoom quality is on another level
_SIFAT MASTER _3,thanks bro
Niloy Niloy,You are right...
foodie me,OMG ur English dude it's fire
Kamrun Nisa,You are my Idol ️.. I mantain all of your rules️ i love you bro
Sinthia Shyness,Vaiya... in lockdown we are suffering many fatty prblm and stretch marks tnqs for the video
AAR,"“Weightloss korar por o girlfriend hoy na”
Fat me: visible happiness"
Madeha imtiaz,Osm ... U r great.. best motivational speaker bn skty ho ap.
Vindy's Journey Kitchen,"Love from Sri Lanka 🇱🇰 Good Luck ,"
Ding dong,1:00 i've never laughed harder
sohana hassan,Great Block
Nikita Chawan,"Him: If ur feeling hungry just go to sleep!!
Me: okay"
Tommy Vercetti,"i want loss weight,but my mom makes the best food!"
Travel Beast,"Nice, very informative"
Priyanka Tiwari,U r so cute and genuine and this video is so helpful
DOMINO,4:00 thousand expressions.
Rafiqul Islam,I am trying to loss my weight according to your suggestions. Let's what happened
Motiur Freefire,Thanks for your advice
HØRNET 父『KING』,"Bro next time, give us the video about How to get tall"
Sebastiao Farias,Awesome dude
Srabonti 264,"Wow! Such  nice Banglish you speak .
I loved 3-4 pcs of lal atar ruti hahaha .
By the way you are really motivating ️️"
Jayanth Jay,Thanks for motivating me a will start from today only.....
misty misty,Thanks a lot
ARON,"1.5 month , I lost 24 kg  , on hard core diet"
LIONCOBALT FF,Now im 60 kg and i will start it my target is 55 kg within 1 month
Farhaan,Good info bro. Love from india
Razer 2.O,You are looking just amazing right now.
Forhad Khan Alif,"thank u so much...
really u r good"
Keizo Sasaki,Good tips!
Lion The Badshah,"i have lost my weight 20 kg... last 3 month... 
i avoid rice,bread potato,sugar and now i am much well.  i am  following jk lifestyle . anyone can follow it"
Ashfick haq,Thank you bro
Tahsiinn,Aww Rafsaann️
Animation BD,"I will try this from today , just pray for me everyone."
Alveera चौहान,Lots of love from India️
Md jahid Shakib,ভাই আপনি বাংলাতে বললে ভাল হত কারণ সবাই ইংরেজি বোঝেনা । আপনার ওজন কমানোর জন্য খাবার তালিকা টা তে কি  রেখেছেন সেটা একটু বললে ভাল হত
MD.Mahfuz Alom,ভাই এত কষ্ট করার দরকার ছিলনা JK Lifestyle মেনে চললে ৩ মাসেই ৪০ থেকে ৪৫ কেজি ওজন কমানো সম্ভব। তাও আবার কোনো রকম কষ্ট ছারাই।
Tasnimul,Proud to know that your from scholastica! Jay Scholasticans!
JR GAMING,Lol his diet lunch is more than my normal lunch but i am still fat
Nayem Mahmud,You're turning back how you were
Sakura Akari,"Remember the date , it's 17 December. My current weight is 75kg. You have to come back , you have to come back after you achieve your goal. Your journey started here. Now , right this moment. 
Just don't forget why you started. And came back like a winner.
Go little rockstar.........."
Gamer Vai,Inspired ️
jon stinson,"I'll follow this diet from today.
I'll update after 1 month."
Raxino,Bro u can modified the title & thumbnail : Patato to banana
AHMED RONY,You r supper talented
Zabir Emu,You deserve like and subscribe.
Maruf-Kun,"Noob: I lost 40 kg in 4 months 
Legend: PhOTosHoP"
anshul6969,I lose 10 kg wait  without doing exercises bro the main thing is dite   focus on dite
Salma's Chapter,Nice Video.....Go ahead.....
Mehjabin Tuli,নোটিফিকেশন পেয়ে এক দৌড় দিয়ে চলে আসলাম
study with PAYAL,I am fan of you ️️️
Mr. Anis,ভাই আপনার English  অনেক ভালো। ভাই আপনি কি কোনো English Medium School a  study করে English learn করছেন?  যদি English medium a না পরে থাকেন তাহলে কিভাবে English learn করছেন? Plzzzz make a video about your English learning experience.
♡ 천사 ♡,"(Pause the video and click the timestamps to see)  0:02 , 0:54 , 0:52 those background are of Scholastica school, where i study! Rafsan did you study at scholastica school?"
Chironjit,motivated
yoo,"Hey, I want to diet / eat healthier but my mum won’t let me. She says im still growing but im growing BIGGGER.  Any advice on how to get her to let me?"
ITZ ANIRUDDHA|Zeeshan Family Vlog's,"যারা এই ভিডিওতে ডিসলাইক দিল , তারা মে বি মোটা হয়ে আর শুকাইতে পারতেসে না|Ha ha ha ️️️"
AZMAIN AHNAF SHAKIB,"Whats your height vaiya, & what BMI do you suggest?"
ZROASTED,1:33 Naughty Naughty
Fahim Alam,ThankQ bro
Farjana Juthi,Tnx vaiya get some inspiration to get reduce fat from body. And this will really effective for daiting  and lost overweight
Gulok Dadha,1st cmnt️Love you️
Custom R,"Bro iam a teenager,is this diet stop my height gain? Or my height increase slowly for this diet? Rafsan bhai please reply please
Or anyone reply tell me ️"
Kk Ww,
Asif Khan Apu,আমি শুকনা কাঠি তাও ভিডিওটা কেন মনোযোগ দিয়া দেখলাম
MikOok,who Have gone THROUGH the body shaming by friends or even by It's own family is worst... I Am Feeling it :(... I want to move on but can't
Ahmed Sarker,"is it ok to share what did you do and eat to lose weight and if you finish breakfast, after how long can you eat lunch"
Show Up Nur,4:14 a ghost came to get a suggestion that how to loss weight...thats why the light turned of as for respect of ghost XD
Maksuda Khatun,Vai re. vai. What a motivation
尺DX 卍LEGEND,Thanks bro ️ very haldfull
kaisar Biplob,দেখা শুরু করলাম পরে আবার কমেন্ট করবো ইনশাআল্লাহ
AKS.VAI- YT,I just motivate by your taking style
Antora bakshi,thnx man
WTF GW ASIF,কে কে রাফসান ভাইয়ের কোরআন তেলাওয়াত শুনতে চান লাইক দিন
DAWINDERPREET SINGH,"Any loose skin? All I am worried about is loose skin, although I have lost 12 kg in 1.5 months"
T4HM1D,Lol
life of munni,Mashallah
Yasee®️ A®️afat,
Teach Mizan BD(TMBD)|pikogamer|Rikta Das|_ predebut _|Oishee,"আচ্ছা ভাই আপনি পরিষ্কার বাংলা বলেন তাহলে মানুষ আরো ভালবাসবে আপনার অনেক কথায় বুঝিনা কি যে বলেন বাংলিশ
যদি ইংরেজি বলেন সব ইংরেজি তাহলে টিক আছে
আর বাংলা বললে বাংলা
আর দুইটা একসাথে বললে পরিস্কার করে বলেন যাতে সব বুঝতে পারি|Go and learn English then|Ami sob kichu bujhi....tar joono to ami subscriber|he has a lot of international viewers watching his channel|Problem ta apnar nijer dear. Tar onek international subscribers ache. 80% English e bolle tarao bujhte pare what's going on here. Subtitles lage na. Apni bujhte na parle problem apnar, basic English shikhe nilei I hope ei problem ta r hobe na karon Rafsan kono tough word use kore na ja bujhte problem hote pare. Don't be judgmental. English international language, eta bolte parle obviously bhalo. Basic English bujhte na para ta ekta failure. Etotuku ektu kindly shikhe niben. Again, please don't be judgmental."
StuNews BD,"Too much energetic motivation. I will try it my bro...But....
Background music টা একটু কমিয়ে দিও ভাই,অনেক বেশি লেগেছে কানে।"
priyameps123,I look like my friends mum  but love this video ️
Chowdhury Ramisa,Thanks rapsan bhaiya.  ami 10 kg komaise.  I am sooo happy ️️ yeh
SULTAN KHAN,Ur great boo
habibur rahman,Love u vai️️️
Ruman Ahmed,ভাইয়া আমি তোমার কথা ভালো ভাবে বুজার জন্যে ইংলিশ এ কোর্স করছি love you ভাইয়া ভালোবাসা অভিরাম....
Apurbo Khan,"People are judging me 
I also want to lose my weight."
Ariyan hossain Adib,love you brooo...
Naaz Parvin,You are  absolutely right
Nivedita Gunala,Inspiring
saimon mazhar,Thanks again bro
Berlin Berlin,Inspiring
Rahat Ahmed,Used to be 110 now 94 my target is 70 my height is 5’7 and age is 22
Mahfuza Momo,It is mandatory to cut off sugar completely?
Md Sujan Mia,️️️
Mar gameing Official,️️️
Md zia Khan,Nice  bro
Golden Land,Oma! You changed a lot.
Asmaul creation,"5:21
' You Didn't Gain This এক রাতের মধ্যে '
 what Is this man"
THE MAZ,You are really tall so is there any tip for height increase
xi-ruinia Charlett,Do you have any loose skin after weight loss?
TANOY,️️️
Payel Kabiraj,️️️
Najmus Sabir,I quit sugar for 7 days and I lost 3 KG's immediately
aap ka dost,"Avi avi fb mai ek chota sa vidio dekha bhai tumhara transformation ka 
       Toh dhoond dhoon ke agaya aur subscribe v kar dia bhai ️"
Mehedi Hossan,Love u bro
Practicing Muslimah,I wish i could
ShahiRaj Foods LTD,Impressive statement
Green Coffee,Im seeing this currently as I have to lose weight for a job damn
Saikh Haamid Razaa,My story is same as yours ...hope the consequences 2 be same
GAMING WITH SHAJET,thanq bro
Argumentive Boss,"RTCB: went India and got fat.
 Meanwhile, 
Me: went India and become slim 
(Didnt change any diet or exercise, everything just happened  automatically)"
Mahaz,It's my second day  I feel like dying
Alfie Akunji,Thank you sir
Muhit Nations,It's work for me
Nadiya Asha,In Sha Allah I will try this pray for me
Ijr_ Tahasan,When you loosed weight was any changes in your height???
Aditi Singh,Trust him!
RAFID Hasan,Right now I am about 95 kg and I will come back after 4 months (in April) Inshallah.
Fatematuj johora,thanks
The Xu,Tumi srsly onk cute chila bro. Even when you were fat. And I'm your subscriber for four year I guess I saw all of your videos and they are just wowww
Amena Begum Ruby,"Either you are FAT or slim the main thing is you need to be confident
AND don't compare yourself to others"
Reguanislam Rafi,My present wait is 92 kg
Abir Hossain,Vaiya tmk dekhe motivation hye amio weightloss kre flsi tips gula onek help krse  love you brother ️
Fahad Uddin,Thank you vaiya
Imran Younas,Bro after weight loss how do I mentain it?
Lucky Soni,️️
Rohan all the time,"Someone ate Rafsan!
Rafsan:The Camera  adds 10 kgs
Me: How many cameras are on you?"
Sima Goswami,"Now I am 62 k.g,,I came after 4 month for edit the comment"
Awais Butt,
Jh Bp,ভাই অনেকদিন ধরে ওজন কমাতে চেষ্টা করছি।  কিন্তু কিছুতে কমছে না।
Sadman Zawad,Is Butter   Is Important For Diet  ?.
Masud Minhaz,I love you vaiya ️️
Naila Sharmeen,inspiring
CS VLOGS !!,I'm 17 and i looks like my father grandfather and this is not joke anymore
Asad Ullah,Rafsan vhai Skinny Body theke muscular Howar Tips Den️
Faiz Mohammed,I literally crying like 10 yrs old and im 50 kg i- i tried but i gave up i dont know how to controll it
LIGHT 444,Love yeah bro
I M R A N STATUS,Bismillah Starting From today
A.G.,Love you bro
Game Changer|Alpha Q|Game Changer|Alpha Q,"I am Starting Today and i m following your tips.
Weight:77 Kg
Target: 60 Kg Atleast|your height and age|@Alpha Q  5.6 and 17 will turn 18 in 1 dec|@Game Changer  so what's your weight now? You started two months ago."
Royality Group,Yo i lost 10 kg in 1 month but i came here again because abaro 10 kg barsi
Saifun Rahman,thanks vaia for sharing.
Farunomia,congratulations...
Md Mehedi,I see many video...but it's better than other..
Its Rakib,Nice vai
Farhan Fahim,️
BLOGGER SADIA,thanks bro
Shameul Haque,"সোলাইমান সুখনের দিন শেষ 
রাফসানের বাংলাদেশ 
উয়াউ নাইচ মোটিভেশন"
swastika maity,Thank you
Rehnuma Bushra,Fat hok ba flat...You are always the best............
Rahadul Islam Rahat,"Yes,Of course, I will try(Love)Thankyou very much."
Sanket Joshi,Bro I am a vegetarian can you suggest me diet for my body weight
Anas Bin ayub,Onek onek thanks bhai.
Jannatul Ronju,"Trust me aita amar deka apnar sobtakay valo akta video, it give more inspiration,really"
Sai Shanmukh,Bro what about loose skin. Did u get any
Tasnim rafin,Yeap bro ️
a,How did you learn English soo good.  I want to have the accent when i talk
0464 Barnali Patra,️
Md. Jaber Hossain,Inshaallah
Amelia Rodríguez,"choto bhai, we love you either way. youre always beautiful, i hope you didnt loose your weight because you hated yourself, fatphobia bondho kora uchit"
Parvez mallick,Tomar bolar style ta khub valo
#Abu Sufian,Rafsan the choto vai na..rafsan the big vai.........️
স্বপ্ন,love u bro
Suman,ভাই আমি তো আপনার থেকে ও অনেক অনেক কম খাচ্ছি তা ও‌ ১০ দিনে মাত্র ২ কেজি ওজন কমেছে। এর কারণ কি ভাই ?? দয়াকরে একটু পরামর্শ দেন।
Jarina Begum,I will try it if it works then   thanks ️
TAZIM™,I want to gain 40 kg in 4 months
RAQUMI,This before or after sunny (best ever food reviews)
Rawlin eyon,Tumi ekhon onk smart yrr
Gracy,I'm at 75kgs and 16yrs how I can loose ??
Ibrahim Khan,মিষ্টি মেয়ে থুক্কু মিষ্টি ছেলে️
Uzma Kanwal Haq,How many meals did you eat in a day. And I suppose you also drank a lot of water?
Roop kotha,
Nayem Siddique,ভাই আপনার থেকে অনেক ইংরেজি শিখলাম️
Fatema Bintee Imam Mim,"I'm loosing my self confident beacuse if fat.
I'm trying to lose  weight... Lost 6 kg only in 4/5 months"
AI Cartoon,"It's great now i am follow this
bcz i am too pain now"
Secret Artist,1million done
NO FEAR,Love from Pakistan ️
juli the nature lover,i am now 68kg....how can i reduce this....because i couldn't wakeup early .....i couldn't do my excercise properly ......plzzz help me chota bhai .....how can i reduce my weight through diet....
Kaku Caca,I am about 120 .what can i do???
Nusrat Afroz,
ashfi 8711,"Bro, i have a question, how do you get rid of wear glasses"
Fatema Faiz,Smooth like butter
Srimal Anuruddha,Thanks from 🇱🇰
Tamzz_01,
Tanjila tithi,️
Mithila Mitu,শুরুতেই বেকগ্রাউন্ড মিউজিক টা শুনে মনে হলো কেও আমার নাক চেপে ধরছে আর আমি নিঃশ্বাস নিতে পারতাছি নাstrong man
Andrew J. King Esq.,"Nastase, your video is very good."
Humaira Zannat,I love your speech
Tanha Shikder,So sad story but intresting.
Hashtag_Shorts,I lost 16 kgs in 2 months
Udara Madushan,
Faysal Ahmed,When he was your bf .....& When he is your ex
Fahimi00u,I am 140 kgs..
i,Many changes bro ..
I.A. ABIR,"Thanks bro
Ammu abbu k tomar video ta dekhaia gym er jonno taka nisi"
M.S Evana Jahid,I love Rafsan
Kazmi Zandana Khan,️️️️
Fatema Fatema,সত্যিই আবাক করা
Miracle Nikki,I think you should add more veggies to your list.
Rajobi Raka,bah!!!!️
Luthfun Nishat,How much did u lost in 1 month vaia?
Zymal shahid,Hey I am just curious does this diet go for both boys and girls or only boys because I am a girl
Gazer 1901,"When he shouts ""this is how!"" 
Zomato shows me biryani ad."
𝔼𝕪𝕒  🎀,Tnx bro
Game Changer,Bro can i skip exercise with Playing football ?
Ebrahim Hossain,রাফসান ভাই মনে করে বাংলাদেশের সবাই ইংলিশ জানে
Anam chy,রাফসান ভাই আপনাকে খুব ভালো লাগে
Muslim unity channel,️️
NB | NIKESH,My age is 14 can i do this diet pls reply my weight is 51.15 pls help me pls
Rafiq Islam,"Bhai I am inspired from u r video
Ami o diet suru korbo"
terexz,I losse 7 kg in 1 month
Sultana In Bangladesh,তোমাকে নিয়ে আগে সবাই হাসতো।আর এখন সবাই তোমাকে পছন্দ করে।
Shohan Sikder,️️️️️️️
হিজাবওয়ালি মেয়ে,
Prince Dipu,Oo great
An_QuriousCat,4:18 Secret sauce is the Best
Neshat Kabir Riya,"এই প্রথম আমি আপনার কোন ভিডিও ফুল দেখলাম।
আর দেখা,শোনার পর মনে হলো আমাকে দিয়েও হবে।হবেই,হতেই হবে।"
Ikra kh,Awww️
Monira akter ety,"Bro how to easily learn English?
Plz help us ..."
KT KT,"Mone hoy kono war er jonno motive korche.
But still I will try. Cuz I have too."
Prince Alien,Great
Alone soul,I think you're the best
RAKIB 69 TH12→ #PQVJRCYPQ,আরে ভাই আমরা বাংগালী তাই বাংলা তে বললে হয়তো অনেকে সহজ হতো বুঝতে
Afŕîñ Rãfî 91,
Syed Ali,tnx bro
Trishna Chatterjee,Bro can I loose weight without excercise?
FlashBANG,"He didn’t got a girlfriend
Because he never tried"
Fatima's Kitchen,Wow
Kitty GaMinG,First Time karo video ato mon diye dekhlam
Ahmmad tanvir,আপনার সেল্ফ কনফিডেন্স বেশি তাই রাফসান আমার প্রিয়! যেমন আমরা কোথাও গেলে হেরিজেটেড ফিল করি কিন্তু তুমি নিজেকে স্মার্ট মনে করো তাই তুমি স্মার্ট
imam manjur,ধন্যবাদ রাফসান
@hadideditz,I am starting form tomorrow . plz pray for me
iti video editor king,Bro you is the best YouTubeer
M A H I M,Actually I'm not fat. It's all about acidity.
Avijit Saha,ভাইয়া আমিও ৩২ কেজি ওজন কমাতে পেরেছি
Nisala  Shyaminda,I start doing today love from Sri Lanka
mahmud hasan,"আমি, সকালে ২টা,  পরটা, দুপুরে ভাত, আর রাতে একটা নান রুটি খাই,"
Razon Khan,"Bro seriously, tmi jai diet list ta bolla same ta follow korle r sokal a 1hours walk korle ki loss hobe ki? R tmi ki sottie e 4mas a ato weight loss korco?"
Ř€X ³³³,BRO went to Gigafat to Gigachad
Jahid Hasan,Where did you Graduate?
MONGOLIAN HCR2 GAMER,I lost 25kg
Apostate Diganto,Nice
নকশা'র মাঠ,Nice
BaBy_ArMy,আমার ভাই ও স্কুল changes করার পর মোট হয়ে গেছে
ninja slayer,"Here are some sunnah of the prophet(SAW)
#...When ever the prophet is mentioned say (sallallahu alaihi wasallam)
#...Dikir after every prayer/you can also add (wa bihamdi) and reciting *Alatul Kursi after every fard salah
*SubahanAllah 33 times
*AllahuAkbar     34 times
*Amhamdulillah 33time
#...While entering home syaing this supplication (Allahumma inni as'aluka khairal mawliji wa khairul makhraji bismillahi wajlana wa bismillahi kjarajna waaalla rabbina tawakkalna)
#... While going outside of home saying this supplication (Bismillah tawakkaltu aaalallah wala hawla wala quwwata illa billah)
#...When entering your home give salam even if there is no one give salam to your self
#...Entering the bathroom with left foot and exiting with right 
*and covering the head and while relieving yourself sitting is wajib
*and when relieving yourself don't face the qibla or your back behind it
#...Entering the masjid with right foot and exiting with left and performing wudu at home
#...Every muslim you cross by give salam
#...Using meswak 
#...Using fragrence 
#...Reading Surah Khaf every Friday
#...Dusting the bed with an edge of an cloth or bromm
#...Eat with your right hand and share your food with the nearest person 
#... if any food drops of the plate pick it up remove the dust and eat it
*after finish eating lick the plate with your fingers and lick your fingers 
#...Before eating and drinking saying bismillah and after finishing eating and drinking saying Allhamdulillah
*if one forgots to say bismillah before eating or drinking say this (bismillahi fi awwalihi wa akhirihi)
#... After finish eating sya this supplication (Allhamdulillah hil ladhi at amani hadha wa razaqanihi min ghayri hawlin minnee wa la quwwatin)
#...Before staring any work or going to do something saying bismillah 
#...After doing wudu saying (La illah illallah wadahu la sarikala)
#...While drinking or eating sitting is recommended and it is an sunnah
#...Sleeping on the right shoulder
#...Not sleeping on your stomach or chest 
#...Before going to sleep 
*sleep in the state of wudu
*Surah ikhlas 3 times
*Surah Nas    3 times
*Surah Falak  3 times
*Ayatul Kursi  3 times
*And saying (Lailahaillallah MuhammadaRrasulullah)
*And reciting Surah Mulk
#...When going to sleep saying this supplication 
(Bismika rabbi wada tu janbi wa bika arfahu in amskata nafsi
fagfir laha wa in arsaltaha fahfazha bima tahfaz bihi ibadaka-s-salihin)or
(Allahuma bismika amutoo wa ahyaa)
#...After waking up saying this supplication (Allhamdulillah hil-lathee ahyana baaada ma amatana wa ilayhin nushoor)
#...After waking up doing wudu and put water inside the nose and blow it
#... when wearing cloths syaing this supplication (Allhamdulillah hil lathee kasanee hatha aththawab warazaqaneehi min ghayri hawlin minnee wala quwwah)
*While wearing entire the right hand first and when taking of start with  left hand same with the shoes
                         Reference
Sahih Al Bukhari: 12.28.153.168.183.216.217.245.568.3295.5010.5623.5628.5630.5631.
6293.6294.6295.6296.6311.6314.
6322.7393.7394
Sahih Muslim:
265.267(c).304.2018(a).2020.2024.
2025.2032.2034.2626
Jami Al Tirmidi:
14.1857.1858.1885.2048.2678.2689.
3426.3458
Abu Dawood:
2.30.51.4023.4141.5094.5095.5096. 5212
Ibn Majah:
303.307.3287.3288
An nasai:
259.
                   Credits goes to
Ismalic knowledge official
Ranga nature English
May Allah guide us and have patience and remember Your lord is not ONE EYED and to read surah kahf every friday 
Plz pray for palistine,Jordan,Syria,Iraq, Iran,Somalia,Yemen,India,China, Bangladesh And for this ummah
Lailahaillallah MuhammadaRrasulullah"
Sayna Mondal,"So u saying that I can lose 40kgs in 4 months just by eating "" kosha murgir mangsho"""
Shyira Khan,You great
rita asma,Tomar vlog valolage egie jao tumi onek valo korbe onek boro hobe
Farida Parvein,U are my crush bro
joy das,Ossam bro
bokhary biswas,I will try to lose my weight
Syed Mudasser Imam,4:11 where Rafsan look at And why
চয়ন দাদা,
Tasfiya Tanha's Vlogs,Thank you viya ato sundor advice daoyar Jono
Ara Abraham,i can't believe ato slim kivabe
Monem Minhaj,bhai ami 126 kg. ami shoday 7.00 pm a just choto 1bati shak r 2 peace  murgir mangsho khai. shathe kichu youtube dekhe weight loss drinks.kintu ogon komse na. can u give me a suggestion?
AYEBAZIBWE DIAN,Thanks dear l am beginning this
AnimePlyz,Yes i can do it
Farjana Akther Akhi,
It's me puja,Thanks vai.darun bolecho amio vbi give up kore di taroor vbi tahole suru kno korlm and ami ghumiye pori.
Diba Mitra,আমার এলাকায় লাল আটার রুটি কোথাও নাইতাই ওজন কমানোটাও স্বপ্ন
Md Anour,Manos caile ki na korte pare cailei sobi kora jay brooo BEST of luck
Next Generation Invest /Bangladesh,Sugar is public enemy #1
Sinthia Shyness,In the morning.... I'm always take green tea
ItsFarasat,Rafsan bhaia tumi onek shukaiso
Sebber Ahmed,"Bro i wanna gain weight
People know me as one name that's chiku"
Aronno Xavier,️️️️️️
হিজাবওয়ালি মেয়ে,Akta manuah chaile ki na korte pare...apnake na dekle seta bujai jai na
Mahfuzur Rahaman,Thanks
Nasil Da,"Current weight : 112 kgs (aug 4/22)
(I'll update my comment within few months. Let's see how much I can change)"
Sheikh Shojib,","
Tashrif  sikder,Thanks
AYEBAZIBWE DIAN,What did u take in morning and evening
Ononna's cooking world,ভাইয়া কথা গুলো বাংলা ভাষায় বললে আমাদের অনেকেরই সুবিধা হতো
Mir Safa,Thanks
Lag,My main enamy is my mum. She wants me to eat everything :/
Raisa,Golummolu chla️
MH RISAT,"Bro amr Waight chilo 81 kg than ami cinta korlam je eta komano lagbe 
Thn same tomar moto e korsi lam thn amar wait 70 kg"
Foodie BD,Love you motu️
Farzana Yasmin,অনেক ধন্যবাদ এমন একটা গুরুত্বপূর্ণ বিষয়ের জন্য। কিন্তু প্রশ্ন হলোঃ প্রতিদিন মুরগির মাংস খেতে হবে? কিংবা এর বিকল্প কি?
Mirza Anam,Your English was so good bro
MMA 4U,Bro what should I eat I'm vegetarian
Ashfaque Hossain Nazmul,আর আমি মোটাই হইনা
Bushra,"Like mom, Not even dad"
Fazle Rabbi,I m 117 now. After I hit 200 I will start gym
ali ashraf samrat,
RIFA THE BTS ARMY. BD ARMY,I'm 11 year old girl and I lose 12 kg
Sadakat hossain,I laughed most when I see the nude jacket that he was wearing
Watermelon Sugar,Hi. Some of ur Language I didn't understand.It'd be nice to have subtitles
Eris Murasaki,"Akhon ""How my skin got bright "" niye akta video banan."
আলভী,"ভাই সব ভালো লাগছে
বাট ইংলিশ একটু কম বলবা"
Sayeda Synthia,"Vaiya , আপনি কাইন্ডলি আপনার ডায়েটের জন্য কোন কোন খাবার গুলো খাওয়া যাবে, একদম প্রপারলি, যে কোন  ডাল কি আপনার ডায়েট চার্ট এ খাওয়া যাবে,বাদাম?
? এটা বললে ভালো হতো।"
Clone Account,Vai asholei onk helpful
Romjan Miah,
sohan khan,ভাইয়া তোমার টিপস নিয়া আমি ৪ মাসে ১০৫ কেজি থেকে এখন আমি ৬২ কেজি
Bless Aqua Garden,Bravo kido
Antor 2020,
Eva Rahman,Graduated
MD Asaduzzaman Apurbo,ভাই বাংলাতে বললে খুশি হতাম
billal Hossain,আমার শুধু পেট কমানোর দরকার কি করা যায়??
𝚂𝚊𝚑 𝙿𝚘𝚛𝚊𝚗,"vaiya aitar ultah transformation er ekta video dien please ...
ami toh onek chikon .
motah howar icha.."
Shahin Farzana,you look  cute in 118 kg
Jubayer Ahmed,1:01 Like his mom
Tanvir tazwar,I loss my 16 kj weaght
Jishan,
RUBAI 5m,Iam 14 year old an kg 50
im bts army girl,অামার কাছে  গলপ টা  অনেক বেশি ভালো লেগেছে ভালো থেক রাফসান দা ছোট ভায়
BD Army Gaming,Bhai is a kegend
MD Imon,ভাই তুমি যদি চাও যে তোমার ভিডিওগুলো সবাই দেখুক এবং কিছু শিখুক তাহলে তুমি বাংলায় কথা বইলো। কারন আমাদের দেশের  অনেকেই ইংলিশ পুরোপুরি বোঝেনা। তাই সবচেয়ে ভালো হয় তুমি বাংলায় কথা বলো।
Priyanka Barman,
Mahaz,Did you legit take singara?  3:12
terrorist group,I'm 73 kg
Md.Ariful Islam Shahed,I look like my friends mom not even my friend dad.
Aimy Maria,"actually...u didnt say what to do for that ""3 days"" .... but i understood that u meant to fast for 3 days....i guss...."
Tasnia Afsheen shreoshi,"bhai dont you need to eat vegetable? sharakhon chicken khayle vegetables e jey energy,protein,vitamin blah blah ase...shey gula na thakle to sick hoye jabe manush."
sky iditz,Vegitarian diet batao bhai
B.M Zia,Bro have any detox's water that's you trying
Rashed Chowdhury,Iam a 12 year old child but I'm very fatty . This is sad for me
The fbd gamers,Hmmm.bro....insallah from now i will try
Google Account,
Shorauv,"এত ভালো ইংলিশ কেমনে শিখছেন, ভিডিও দেন।"
It’sUmaiza,Omg I am also in Scholastica
deva mi,Vai amr khub funny lagse..  But thx for the tips
